post_id,post_title,post_class,post_subject,post_authors,post_publisher,post_year,post_lang,post_booklink,post_cover,post_pdf,post_pdf_pages,post_epub,post_frame,post_content,post_isinteractive
285,Eyes Open 3 for Kazakhstan Grade 7 Student`s book,7,English,Б. Голдштейн,Cambridge University Press,2019,Русский и казахский,https://expert.study-inn.kz/uchebniki-eng/eyesopen37sb,285.jpg,285.pdf,144,,,,0
286,Excel for Kazakhstan (Grade 7) Student`s book,7,Информатика,"Вирджиниия Эванс, Дженни Дулей",Express Publishing,2017,Русский и казахский,https://expresspublishing.kz/excel-7/,286.jpg,286.pdf,170,,,,0
289,Қазақ тілі. Оқулық + CD,8,Қазақ тілі,"Б. ӘРІНОВА, Қ. МОЛДАСАН, А. БАЙШАҒЫРОВА",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/PD0SraicjHPWu67,289.jpg,289.pdf,128,,,,0
292,Қазақ әдебиеті. Оқулық + CD,8,Литература,"А.С. АҚТАНОВА, А.К. ЖУНДИБАЕВА, Л.К. ЖҰМЕКЕНОВА",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/6edqeDwtYmIFi6b,292.jpg,292.pdf,192,,,,0
296,"Русский язык и литература.Учебник 1, часть",8,Русский язык,"У.А. Жанпейс, Н.А. Озекбаева,  Р.Д. Даркембаева, Г.А. Атембаева ",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/JRJScijpLs9M6lT ,296.jpg,296.pdf,192,,,,0
297,Русский язык и литература.Учебник  2 часть,8,Русский язык,"У.А. Жанпейс, Н.А. Озекбаева, Р.Д. Даркембаева, Г.А. Атембаева",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/QiobLfYDT2Uq2Gs,297.jpg,297.pdf,192,,,,0
299,Русский язык и литература. Учебник,8,Русский язык,"К.Л. Кабдулова, Г.Д. Аульбенко",Көкжиек-Горизонт,2018,Казахский,https://bilimland.kz/books/russkij-yazyk-i-literatura/8-klass-uchebnik,299.jpg,299.pdf,192,,,,0
300,Алгебра. Оқулық,8,Алгебра,"Ә. Н. ШыНыбеков, Д. Ә. ШыНыбеков, Р. Н. Жұмабаев ",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/h9Rj5H9R9tW06yT,300.jpg,300.pdf,192,,,,0
302,Алгебра. Оқулық + СD,8,Алгебра,"Г.Н. Солтан, А.Е Солтан, А. Ж. Жумадилова",Келешек-2030,2018,Казахский,http://keleshek-2030.kz/books/algbk.php ,302.jpg,302.pdf,192,,,,0
303,Геометрия. Оқулық,8,Геометрия,"Ә. Н. ШЫНЫБЕКОВ,  Д. Ә. ШЫНЫБЕКОВ, Р. Н. ЖұмаБаЕВ",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/boZzovmckT5erfp,303.jpg,303.pdf,156,,,,0
306,Информатика. Оқулық,8,Информатика,"С.Т. Мұхамбетжанова,  А.С. Тен, Н.Т. Маликова ",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/jjltNBr96XlW7kE,306.jpg,306.pdf,176,,,,0
311,Биология. Оқулық,8,Биология,"А. Соловьева, Б. Ибраимова",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/3iPhoRcFy04EFgu,311.jpg,311.pdf,288,,,,0
312,Физика. Оқулық,8,Физика,"Р. Башарұлы, Ш. Шүйіншина, К. Сейфоллина",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/TQN0bhMb5sA0HZ6,312.jpg,312.pdf,224,,,,0
315,Химия. Оқулық,8,Химия,"М.Б. Усманова, К.Н.Сакарьянова, Б.Н.Сахариева",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/irDIBn1z8v9LmCL,315.jpg,315.pdf,224,,,,0
317,Қазақстан тарихы.Оқулық,8,История,"З.Е. Қабылдинов, Ж.Н. Қалиев, А.Т. Бейсембаева",Атамұра,2018,Казахский,http://books.atamura.kz/oc/index.php/s/fapa9Owzio90CHm,317.jpg,317.pdf,224,,,,0
335,Алгебра.Учебник,8,Алгебра,"А. Н. Шыныбеков, Д. А Шыныбеков, Р. Н. Жумабаев",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/JfYcIYlfbDeWVM4,335.jpg,335.pdf,208,,,,0
337,Алгебра. Учебник + СD,8,Алгебра,"Г.Н. Солтан, А.Е Солтан, А. Ж. Жумадилова",Келешек-2030,2018,Русский,http://keleshek-2030.kz/books/algbr.php,337.jpg,337.pdf,216,,,,0
338,Геометрия. Учебник,8,Геометрия,"А. Н. Шыныбеков, Д. А Шыныбеков, Р. Н. Жумабаев",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/OC8tB9wGB17Sha6,338.jpg,338.pdf,112,,,,0
340,Геометрия. Учебник + СD,8,Геометрия,"Г.Н. Солтан, А.Е Солтан, А. Ж. Жумадилова",Келешек-2030,2018,Русский,http://keleshek-2030.kz/books/geomr.php,340.jpg,340.pdf,112,,,,0
341,Информатика. Учебник,8,Информатика,"С.Т. Мұхамбетжанова,  А.С. Тен, Н.Т. Маликова ",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/w5OnXqB9FgBwmvR,341.jpg,341.pdf,192,,,,0
343,Информатика. Учебник + СD,8,Информатика,"С.Т. Мұхамбетжанова,  А.С. Тен, Н.Т. Маликова ",Арман-ПВ,2018,Русский,https://www.armanpv.com/8-klass,343.jpg,343.pdf,192,,,,0
346,Биология.Учебник,8,Биология,"А. Р. СоловьевА, Б. Т. ИБРАИмовА",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/vBhQhBmrTzhmIS2,346.jpg,346.pdf,288,,,,0
349,Химия. Учебник,8,Химия,"М.Б. Усманова, К.Н.Сакарьянова, Б.Н.Сахариева",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/JoWMTl1KJ7DHiTE,349.jpg,349.pdf,224,,,,0
351,История Казахстана. Учебник,8,История,"З. Е. Кабульдинов, Ж.  н. КалиЕв, а.  Т. бЕйсЕмбаЕва",Атамұра,2018,Русский,http://books.atamura.kz/oc/index.php/s/1675sr4wtB4EEhv,351.jpg,351.pdf,224,,,,0
361, Eyes Open 4 for Kazakhstan (Grade 8) Student`s book,8,English,Б. Голдштейн,Cambridge University Press,2019,Русский и казахский,https://expert.study-inn.kz/uchebniki-eng/eyesopen48sb,361.jpg,361.pdf,148,,,,0
362,Excel  for Kazakhstan(Grade 8) Student`s book,8,Информатика,"Вирджиниия Эванс, Дженни Дулей",Express Publishing,2019,Русский и казахский,https://expresspublishing.kz/excel-grade-8/,362.jpg,362.pdf,170,,,,0
